GO.ID	Description	p.Val	FDR	Phenotype	Genes
GO:0007219	Notch signaling pathway	4.63e-02	4.63e-02	1	SNAI2,ZNF423,SNAI1,BMP2,DTX1,MMP14,HEYL,HEY1,TSPAN5,EGFL7,ROBO2,PEAR1
GO:0043516	regulation of DNA damage response, signal transduction by p53 class mediator	2.68e-02	2.68e-02	1	SNAI2,TWIST1,SNAI1,SPRED1,HIC1,SPRED2
GO:0002573	myeloid leukocyte differentiation	4.20e-02	4.20e-02	1	FSTL3,CDK6,SH3PXD2A,FOXP1,INHBA,BMP4,LIF,LRRC17,APP,EPHA2,KIT,RUNX1,TGFBR2,FBN1
GO:0051899	membrane depolarization	4.89e-02	4.89e-02	1	CACNA1G,DCN,CACNG4,ABL1,NALCN,CAV1,KDR,CACNA1C,CACNA1H,MLLT11
GO:1904181	positive regulation of membrane depolarization	3.22e-02	3.22e-02	1	DCN,KDR,MLLT11
GO:0051882	mitochondrial depolarization	2.22e-02	2.22e-02	1	DCN,ABL1,KDR,MLLT11
GO:0051901	positive regulation of mitochondrial depolarization	1.30e-02	1.30e-02	1	DCN,KDR,MLLT11
GO:0006929	substrate-dependent cell migration	4.87e-03	4.87e-03	1	SNAI2,FN1,ITGA11,SLIT2,VEGFC,ITGA2
GO:0002576	platelet degranulation	3.91e-06	3.91e-06	1	IGF1,HGF,ACTN1,TIMP3,SERPINE1,RARRES2,VWF,SPARC,FN1,TGFB3,F13A1,ISLR,CD36,THBS1,MMRN1,APP,ECM1,VEGFC,CLEC3B,IGF2,SELP,CFD,F5
GO:0048010	vascular endothelial growth factor receptor signaling pathway	4.87e-03	4.87e-03	1	FYN,FLT4,BCAR1,NEDD4,SHB,NRP2,PGF,KDR,SHC2,TMEM204,EMILIN1,VEGFC,ITGA5
GO:0007224	smoothened signaling pathway	4.89e-02	4.89e-02	1	EVC,GLI2,CHRD,SFRP1,GLI3,BMP4,GLIS2,SMO,GAS1
GO:0048483	autonomic nervous system development	4.69e-02	4.69e-02	1	KIF26A,FN1,NRP2,SOX4,SOX11
GO:0046660	female sex differentiation	3.16e-02	3.16e-02	1	PTPRN,INHBA,PDGFRA,SLIT2,KIT,SLIT3,ROBO2
GO:0042698	ovulation cycle	3.70e-04	3.70e-04	1	PTPRN,TGFB3,INHBA,PDGFRA,SLIT2,SLIT3,ROBO2
GO:0022602	ovulation cycle process	1.61e-04	1.61e-04	1	PTPRN,TGFB3,INHBA,PDGFRA,SLIT2,SLIT3,ROBO2
GO:0046545	development of primary female sexual characteristics	1.30e-02	1.30e-02	1	PTPRN,INHBA,PDGFRA,SLIT2,KIT,SLIT3,ROBO2
